"341.jpg","ja"
"361s362.jpg","jeulujo","julujo"
"362.jpg","jeumala","jeumaloi","jeumba","jemba","jeumeu'ah","meumeu'at","jeumeuat"
"362s363.jpg","jeumeulah"
"363.jpg","jeumeurah","jomeurah","jeumeurang","jeumuju","jumuju","jeumot","jeumpa","bungong jeumpa","jeumpet","jeumphan","timphan","leupat","jeumpung","jeumpoi","jeunabat","jeunadah","jeunaka","janaka","jeunara"
"363s364.jpg","jeujang","jinjang","jeudran"
"364.jpg","jeundrang","jeuneh","jineh","jeuneurob","jeuneurop","jeungkai","jeungki","jeungkong"
"364s365.jpg","jeuntayu","jentayu"
"365.jpg","jeuntek","jioh","jeuoh","jeupat","ceupat","jeupet","jeura","jara","jira","jeuragan","juragan","jeuramani","jaramani","jiramani","jeurat","jirat","jeureujak","jeureuji"
"365s366.jpg","jeureukat"
"366.jpg","jeureukha","jeureula","jeureulah","meujeureulah","jeumeureulah","jeureulang","jeureuleng","jeureulong","jeurulong","ceureulong","jeureumai","jeureuman","jeureumeun","jeureumeung","jeureungee","jeurangee","jeureungie","jeureungeh","jeureuneh","jeureungong","jeureuju","juruju"
"366s367.jpg","jeureumeui","jeureumeuih"
"367.jpg","jeurumiah","jheut","jeut","jeuheut","jho","jo","jeuho","jhung"
"368.jpg","ji","jib","layeue jib","jidai","jijai","jijieb","jie","jieb","jiem-jiem","jih","jihad","jihat","jiue","jim","gim","jimak"
"369.jpg","jinab","jinap","jinamee","jeunamee","jing","jinoh","jeunoh","jiran","jirem","jisem","jiwiet","jlueh","glueh","jluh","gluh"
"370.jpg","jlueng","glueng","jlong","glong","joh-joh","meujoh-joh","joh-jah","joha"
"371.jpg","jok","jom","jong","jra"
"371s372.jpg","jrabat","jeureuban"
"372.jpg","jrambaih","jrami","jrangkeng","meujrangkeng","teujrangkeng","jrat"
"372s373.jpg","jroh","jroeh"
"373.jpg","jrok","jruek","jruk","jruen","jrun","jrukho","jurukho","jrom","jron-jreuen","ju","juadah","juah","juwah","ju'alah"
"373s374.jpg","juara","juwara"
"374.jpg","juat","juwat","bak juat","bak juwat","jubah","judaih","judah","judi","jujee","dujee","jujuet","jujut","jujoh"
"374s375.jpg","judo"
"375.jpg","judue","jadoi","juem","jum","juga","jugan","juget","jugi","juha","juhan"
"375s376.jpg","juhang","johang"
"376.jpg","juhari","juih","jukhom","jula","julab","julap","julang"
"376s377.jpg","juleng"
"377.jpg","julok","jumbeng","jumoh","junjong","jundrong"
"377s378.jpg","junga"
"378.jpg","junggreueh","jeundr'euh","jungka","jungkat","jeungkat","jungket","jungo","junub","junup","junut","jeuneut"
"378s379.jpg","junun","teujunun"
"379.jpg","junte","junthue","juntue","guntue","juon","jupheuek","jeupheuek","meujupheuek","juphok","juree"
"379s380.jpg","jureng","meujureng"
"380.jpg","juru","juruet","jurut","jeuruet","jeurut","jurong","jusan","juisan","jut","jut majut","jut wa makjut","jakjuja wa majakjuja","juthok"
"380s381.jpg","juthuek"
