|,nyongkolan,ڽوڠكولن
|,nyolnyolan,ڽولڽولن
|,nyingnying,ڽيڠڽيڠ
|,nuwun,نووون
|,nutrisisme,نوتريسيسمى
|,nutrigenomika,نوتريڬينوميكا
|,nutrigenetika,نوتريڬينيتيكا
|,nutfah,نطفة
|,nuklir,نوكلير
|,nukleotida,نوكليوتيد
|,nukleonika,نوكليونيكا
|,novus,نوۏوس
|,nouveau,نواوۏياو
|,notifikasi,نوتيفيكسي
|,nostofobia,نوستوفوبيا
|,nosokomial,نوسوكوميال
|,nosokomefobia,نوسوكومفوبيا
|,normobarik,نورموبريك
|,nonvolatil,نونۏولتيل
|,nontes,نونتس
|,nonsteroid,نونستيرواد
|,nonstandar,نونستندر
|,nonsilabis,نونسيلابيس
|,nonprotein,نونڤروتيئن
|,nonpribumi,نونڤريبومي
|,nonpredikatif,نونڤريدكاتيف
|,nonpolitik,نونڤوليتيك
|,nonpemerintah,نونڤمرينته
|,nonorganik,نونورڬانيق
|,nonmiliter,نونميليتر
|,nonkooperatif,نونكواوڤراتيف
|,nonintervensi,نونينترۏينسي
|,nongkek,نوڠكيك
|,nong,نوڠ
|,nonelektrolit,نونيليكتروليت
|,noneksakta,نونيك ساكتا
|,nonekonomi,نونيكونومي
|,nondistingtif,نونديثتيڠتيف
|,nondepartemen,نوندڤارتمان
|,nonbendawi,نونبنداوي
|,non-euclidean,نون-اييوچليديان
|,nomor,نومور
|,nomina,نومينا
|,nomen,نومين
|,noktifobia,نوكتيفوبيا
|,noktifilia,نوكتيفيليا
|,nobis,نوبيس
|,nitroselulosa,نيتروسلولوسا
|,nitrosamin,نيتروسمين
|,nitrometer,نيتروميتر
|,nitrogliserin,نيتروڬليسيرين
|,nirkoneksi,نيركونيك سا
|,nirkarat,نيركارات
|,nirgesekan,نيرڬيسيكن
|,nirgagasan,نيرڬاڬسن
|,ninitowong,نينيتوووڠ
|,niktofobia,نئتوفوبيا
|,niktinasti,نئتيناستي
|,nidifikasi,نيديفيكسي
|,ngeang-ngeang,ڠڠ-ڠڠ
|,ngabuburit,ڠابوبوريت
|,neuromuskuler,نيوروموسكولر
|,neurologis,نيورولوڬيس
|,neurokimia,نيوروقيميا
|,neuroblastoma,نيوروبلستوما
|,neurektomi,نيوريكتومي
|,netropause,نيتروڤاوس
|,netralitas,نيتراليتاس
|,netralisme,نيتراليسمى
|,netralisir,نيتراليسير
|,netral,نيترال
|,neroli,نيرولي
|,neritopelagik,نيريتوڤيلاڬيق
|,neositosis,نيوسيتوسيس
|,neoplatonisme,نيوڤلاتونيسمى
|,neoplastik,نيوڤلاستيق
|,neontologi,نيونتولوڬي
|,neolokal,نيولوكل
|,neolitikum,نيوليتيكوم
|,neofeodalisme,نيوفياوداليسمى
|,neofarmafobia,نيوفرمافوبيا
|,neodarwinisme,نيودروينيسمى
